!!!;seen live;electronic;indie
Rambutan Jam Band;unknown;unknown;unknown
Kayzo;dubstep;electro house;drumstep
June Miller;Drum and bass;dubstep;atmospheric
Dizzee Rascal;Grime;Hip-Hop;seen live
DEADSHAWDY;unknown;unknown;unknown
Erman Erim;minimal;electronic;electro
Rae Sremmurd;Hip-Hop;rap;hip hop
by Lotus;ambient;unknown;unknown
Philanthrope;instrumental hip-hop;beats;Hip-Hop
Kryder;Progressive House;electronic;House
Marshvll;trap;chill trap;electronic
Tommie Sunshine;seen live;electro;electronic
Hawkwind;space rock;Psychedelic Rock;Progressive rock
Q Funktion;trip-hop;nu-jazz;electronic
Those Poor Bastards;gothic country;country;death country
Iglooghost;electronic;wonky;glitch hop
Danny Red;reggae;roots reggae;seen live
jus.;unknown;unknown;unknown
Fur Elise;indie;Classical;seen live
Dubbacle;electronic;dubstep;bass
Peter Tosh;reggae;roots reggae;Rasta
Earlyworm;dub;reggae;country: canada
Ezra Furman;seen live;folk;indie rock
Thylacine;seen live;punk;hardcore
Goblin-X;unknown;unknown;unknown
Monkey Safari;tech house;House;midget
Farruko;Reggaeton;Puerto Rican;mierda
Ritual;hardcore;seen live;Progressive rock
Anakronic Electro Orkestra;klezmer;electro;jungle
Steinregen Dubsystem;reggae;dub;jungle
Spirit Caravan;doom metal;Stoner Rock;stoner metal
Russian Circles;post-rock;Post-Metal;instrumental
Terahert;Progressive;Psyprog;psychedelic
Euføeni;electronic;techno;unknown
Sebjak;Progressive House;House;electronic
Junior vieira;unknown;unknown;unknown
Charlotte de Witte;techno;seen live;minimal techno
PCP;rap;Hip-Hop;Deutschrap
Trevor Jackson;electronic;UK;rnb
DJ Billy-E;bass;All;unknown
Helvetia;Lo-Fi;post-rock;indie rock
Cult of Luna;Sludge;Post-Metal;doom metal
Afu-Ra;Hip-Hop;rap;underground hip-hop
Jokers of the Scene;electronic;electro;Canadian
Noiseshaper;dub;reggae;downtempo
Beginner;hip hop;german;Hip-Hop
Seeed;reggae;dancehall;german
ScarcityBP;Hip-Hop;underground hip-hop;hungarian
Kill the Noise;dubstep;electronic;electro
Robin Thicke;soul;rnb;pop
Don Philippe;jazz;instrumental;folk
Born Ina Barn;hip hop;reggae;Lo-Fi
Rooq;unknown;unknown;unknown
Tommy Cash;Hip-Hop;rap;estonian
Wooden Shjips;psychedelic;Psychedelic Rock;experimental
Funky DL;Jazz Hop;Hip-Hop;underground hip-hop
Yann Tiersen;instrumental;Soundtrack;french
Öresound Space Collective;unknown;unknown;unknown
Rival Sons;blues rock;hard rock;seen live
MGMT;electronic;indie;psychedelic
Morgan Page;House;electronic;dance
Twenty One Pilots;electronic;alternative;indie
Midas 104;electronic;under 2000 listeners;All
Dj Mad Dog;hardcore;Gabber;Mainstream Hardcore
Trevor Something;synthwave;synthpop;electropop
Chemical Surf;unknown;unknown;unknown
DJ Derelict;unknown;unknown;unknown
Luke St;unknown;unknown;unknown
Beach Fossils;Lo-Fi;indie;surf rock
Danny Avila;electronic;dance;electronica
Rone;minimal;techno;ambient
The Magician;House;electronic;Disco
Luis Coronel;latin;World Music;Mi nina traviesa
Mount Eerie;Lo-Fi;folk;seen live
Numa Crew;dubstep;dub;italian
Vaydr;unknown;unknown;unknown
Young Thug;Hip-Hop;rap;trap
Like Mike;seen live;pop;punk
PaulWetz;unknown;unknown;unknown
Jennifer Lopez;pop;latin;rnb
G-Eazy;Hip-Hop;rap;hip hop
MC Hammer;Hip-Hop;rap;90s
Radar Men from the Moon;Psychedelic Rock;space rock;Stoner Rock
Wayne Marshall;dancehall;reggae;ragga
Lyre le temps;electro-swing;jazz;swing
Sting;rock;pop;classic rock
Kularis;psytrance;progressive psytrance;psychedelic trance
Kaláka;hungarian;folk;magyar
Farhot;hip hop;Hip-Hop;soul
Boy ;seen live;folk;australian
Ron Flatter;techno;minimal;electronic
Pika;electronica;club;unknown
DJ Blyatman;Hardbass;hardstyle;russian
Saro;folk;Progressive;indie
Jamalski;Drum and bass;Drum n Bass;jungle
Giobia;psychedelic;Psychedelic Rock;garage
K-Plan;Hardtek;hardcore;frenchcore
Sam Collins;blues;delta blues;20s
Ella Mai;rnb;soul;Hip-Hop
Milonair;hip hop;Deutschrap;seen live
Benny Page;Drum and bass;jungle;dnb
Pharoah;Glam Metal;glam rock;hard rock
Unwound;post-hardcore;noise rock;math rock
Tetra Hydro K;dub;Drum and bass;jazz
Playground Zer0;underground pop;Dutch Underground Pop;unknown
A;rock;alternative rock;seen live
Desert Dwellers;ambient;chillout;downtempo
Cardi B;Hip-Hop;rap;trap
Alan Fitzpatrick;techno;tech house;minimal
Lessons;metalcore;seen live;hardcore
DMVU;dubstep;dark;bass
GroundBass;unknown;unknown;unknown
Dubmatix;dub;reggae;roots reggae
Dwig;electronic;House;deep house
Giraffes? Giraffes!;math rock;instrumental;experimental
Dwin;House;Progressive House;unknown
Monika Juhasz-Miczura;Gypsy;unknown;unknown
Black Pussy;Stoner Rock;rock;Psychedelic Rock
Hugo Kant;trip-hop;downtempo;Hann with Gun
Wems;frenchcore;Hardtek;Hardfloor
Polvo;math rock;indie rock;post-rock
Alvan;unknown;unknown;unknown
Dirty Doering;minimal;tech house;bar25
Com Truise;chillwave;electronic;Lo-Fi
Sleepin' Is Cheatin';unknown;unknown;unknown
Jahtari Riddim Force;dub;digital reggae;digi dub
Sighter;seen live;unknown;unknown
Finnebassen;deep house;House;electronic
Óperentzia;seen live;dub;psychedelic
Sons of Otis;doom metal;stoner doom;Stoner Rock
Santigold;electronic;indie;seen live
A.CHAL;electronic;trip-hop;idm
Fuse ODG;pop;ghana;seen live
Pimf;seen live;favorites;live gesehen
Jamie Berry;electro swing;funky;electronic
Violent Femmes;alternative;rock;indie
Combat Wombat;Hip-Hop;Aussie Hip-Hop;australian
Metaform;trip-hop;downtempo;chillout
Dashdot;deep house;nu disco;modern metal
Survivor;rock;classic rock;80s
No Age;noise rock;seen live;experimental
Stand High Patrol;dub;reggae;dubabub
Luis Fonsi;pop;latin;latin pop
Fungal Abyss;Psychedelic Rock;psychedelic;space rock
The Legendary Tiger Man;blues;seen live;portuguese
Didjworks;didgeridoo;folk;ethno
Flox;dub;reggae;electro
Atomic Spliff;unknown;unknown;unknown
T-killah;Hip-Hop;russian rap;rap
Linguistics feat. Charlie Perry;unknown;unknown;unknown
Skott;pop;seen live;electronic
Frimost;black metal;goregrind;Brutal Death Metal
Pile;post-hardcore;j-pop;japanese
Schlachthofbronx;dubstep;seen live;electro
Robert Hood;techno;detroit techno;minimal
Talpa;psytrance;psychedelic trance;goa
Fritz Helder;unknown;unknown;unknown
The Raveonettes;indie;indie rock;seen live
Rodríguez;psychedelic;seen live;folk
Themselves;Hip-Hop;anticon;experimental
Franky Jones;Hard Trance;acid techno;acidcore
Hammock;post-rock;ambient;instrumental
Viper;Power metal;heavy metal;speed metal
LOthief;unknown;unknown;unknown
Pupajim;dub;reggae;dubstep
Cheat Codes;pop;tropical house;electronic
Blackalicious;Hip-Hop;hip hop;rap
Peter Sandberg;chillout;instrumental;piano
Camo ;Drum and bass;seen live;dubstep
Ninja Sex Party;comedy;synthpop;Retro
Avancada;trance;electronic;dance
FLAGZ;unknown;unknown;unknown
Pennywise;punk;punk rock;seen live
Answer Code Request;techno;electronic;minimal techno
Mrs. Magician;Garage Rock;Lo-Fi;Surf
Zak Abel;pop;electronic;soul
The Neighbourhood;indie;indie rock;indie pop
The Kite String Tangle;electronica;indie;alternative
Heavy Hands;Stoner Rock;psychedelic;Psychedelic Rock
fujitsu;beats;chill;Lo-Fi
Huncho Jack;trap;rap;Hip-Hop
Yatzee;hi-tech;unknown;unknown
Ivy Lab;Drum and bass;electronic;deep
Delayers;San Marino;sanmarinese;unknown
Flirtini;seen live;electronic;polish
Two Birds;unknown;unknown;unknown
Texas in July;metalcore;deathcore;hardcore
DVBBS;House;electronic;electro house
TV Girl;Lo-Fi;indie;chillwave
Deadly Hunta;reggae;Hip-Hop;hiphop
Finger ;elektro-house-electro-tech;unknown;unknown
Relaxed Minds;Nature;Water sounds;wave noise
Iamsu!;Hip-Hop;rap;san francisco
Patko;soul;reggae;acoustic
Giant Panda Guerilla Dub Squad;dub;reggae;seen live
Digicult;psytrance;psychedelic;psychedelic trance
Marc DePulse;minimal;techno;minimal techno
Ol' Burger Beats;Hip-Hop;jazz;instrumental
PLÜM;unknown;unknown;unknown
The Flying Eyes;Psychedelic Rock;blues rock;psychedelic
Savages;post-punk;seen live;female vocalists
Thavius Beck;Hip-Hop;experimental;abstract hip-hop
Dirtwire;electronic;folk;instrumental
Dramadigs;hip hop;Hip-Hop;chillout
Ghost Rider;psytrance;progressive psytrance;progressive trance
Kim Dotcom;electronic;electropop;techno
Sajanka;goa;unknown;unknown
J Dilla;Hip-Hop;instrumental hip-hop;underground hip-hop
Siena Root;Psychedelic Rock;Stoner Rock;psychedelic
Flex Fab;dj;abstract hip-hop;eurosonic2017
Stereo Total;electronic;french;seen live
Space Tribe;psytrance;goa;psychedelic trance
Sweatshop Union;Hip-Hop;Canadian;rap
Antilopen Gang;seen live;rap;Deutschrap
Neon Hitch;pop;electronic;electropop
fant4stik;frenchcore;Hardtek;unknown
Miike Snow;electronic;electropop;synth
Flux Pavilion;dubstep;electronic;bass
Darktek;Hardtek;hardcore;breakcore
Riva Starr;electronic;minimal;House
Omar Varela;argentina;unknown;unknown
Exilles;techno;unknown;unknown
King Tuff;Garage Rock;Lo-Fi;seen live
Blank Banshee;vaporwave;electronic;seapunk
The Toxic Avenger;electro;electronic;new rave
Monolink;electronic;electronica;seen live
N'to;techno;minimal;minimal techno
DJ Fresh;Drum and bass;jungle;electronic
Asiahn;rnb;soul;r&b
Nora En Pure;House;deep house;electronic
Areno Jaz;Hip-Hop;french;french rap
Dombresky;House;electronic;french
Dash Berlin;trance;vocal trance;progressive trance
Koen Groeneveld;techno;minimal;minimal techno
Macklemore;Hip-Hop;rap;underground rap
Astrix;psytrance;psychedelic;trance
Féloche;folk;french;french pop
Premium;Drum and bass;jump up;electronic
Dino Merlin;Bosnian;pop;balkan
AC Slater;dubstep;electro;electronic
Esther Phillips;soul;jazz;female vocalists
Egbert;techno;electronic;dutch
Pisk;jazz;electro swing;unknown
The Herbaliser;Hip-Hop;ninja tune;trip-hop
Jayline;Drum and bass;jump up;clownstep
White Fence;Lo-Fi;Psychedelic Rock;psychedelic
Mindbenderz;psytrance;trance;psy
Ticon;psytrance;progressive trance;progressive psytrance
Tall Black Guy;detroit;Hip-Hop;Neo-Soul
Mullally;soul;Neo Soul;Neo-Soul
DENM;unknown;unknown;unknown
Paddy and the Rats;folk punk;celtic;irish
Yeah Yeah Yeahs;indie;indie rock;female vocalists
Wittyboy;UK Garage;electronic;dubstep
Lily Allen;pop;female vocalists;british
Elyts Sounds;chill;ambient;downtempo
Boys Noize;electro;electronic;seen live
Longevity;underground hip-hop;California;Hip-Hop
Loading Data;Stoner Rock;stoner;french
Brain Police;Stoner Rock;Psychedelic Rock;stoner
Sisters of Your Sunshine Vapor;psychedelic;Psychedelic Rock;detroit
Cloud 9;Drum and bass;Old school Hardcore;jungle
Pappenheimer;schranz;HardTechno;techno
Arman Cekin;electronic;chillout;indie
Eisbrecher;industrial metal;industrial;german
Mariah Carey;pop;rnb;female vocalists
Generationals;indie;indie pop;indie rock
Speakeasy Sideshow;unknown;unknown;unknown
Sander Van Doorn;trance;progressive trance;electronic
Machinedrum;idm;electronic;glitch
Chris Rea;rock;blues;classic rock
Bluestaeb;electronic;ambient;hip hop
Mikael Weermets;unknown;unknown;unknown
Tristan;psytrance;psychedelic;psychedelic trance
A-Lab;unknown;unknown;unknown
Matt Fax;Progressive House;trance;electronic
DVSN;rnb;soul;electronic
Strez;Hardtek;tribecore;happy family
Assemble Head In Sunburst Sound;Psychedelic Rock;psychedelic;Stoner Rock
Don Rimini;electro;electronic;House
Orestis;darkpsy;psytrance;psychedelic
ManMadeMan;psytrance;goa;psychedelic trance
Hallucinogen;psytrance;goa;psychedelic
Heretic Klick;unknown;unknown;unknown
Alo Wala;seen live;indie;bass
Ugly Duckling;Hip-Hop;hip hop;rap
Mandragora x Groovaholik;unknown;unknown;unknown
Bill Withers;soul;funk;70s
Seneca B;beats;Hip-Hop;trip-hop
Breech;hardcore;Nu Metal;accordion
Arts The Beatdoctor;Hip-Hop;jazz-hop;instrumental hip-hop
Nu:Tone;Drum and bass;liquid funk;Hospital Records
thuey;unknown;unknown;unknown
Fünf Sterne Deluxe;german;Hip-Hop;hip hop
The Good The Bad;surf rock;instrumental;Garage Rock
Pimpulsiv;rap;Deutschrap;hip hop
PQM;Progressive House;House;electronic
Kaiju;dubstep;death metal;electronic
S.MOS;jazz;hip hop;french
John Dahlbäck;House;electronic;minimal
Highko;darkpsy;psytrance;dark psy
[ Wex 10 ];unknown;unknown;unknown
Cosmic Boys;techno;minimal techno;unknown
D.R.S.;Hip-Hop;Drum and bass;bg hip hop
Max Graef;House;downtempo;electronic
Barbaro;hungarian;Progressive rock;ethno
Pixies;alternative;indie;rock
Gridlok;Drum and bass;neurofunk;techstep
Benji Hughes;indie;seen live;singer-songwriter
Dimatik;psychedelic;hardstyle;Psystyle
Harrison Brome;electronic;canada;Canadian
WoodzSTHLM;unknown;unknown;unknown
Lazy Lizzard Gang;unknown;unknown;unknown
Barenhvrd;unknown;unknown;unknown
Dé:Nash;unknown;unknown;unknown
Dead Obies;seen live;hip hop;rap
King Automatic;Garage Rock;seen live;Garage Punk
LoopMaffia;Hip-Hop;electronic;hip hop
Burzum;black metal;dark ambient;ambient black metal
SuperSillyus;ambient;idm;electronic
The Gift Of Gab;Hip-Hop;hip hop;rap
Alextrem;Hardtek;tribe;mental
Styles of Beyond;Hip-Hop;rap;underground rap
Klint;electronic;Soundtrack;rock
The Cracken;trance;polish;uplifting trance
Plantrae;glitch;folktronica;downtempo
Pink Floyd;Progressive rock;classic rock;Psychedelic Rock
Mick Harvey;singer-songwriter;rock;australian
Bhad Bhabie;Hip-Hop;rap;trap
Les Savy Fav;post-punk;indie;indie rock
Madvillain;Hip-Hop;underground hip-hop;rap
Senix;progressive trance;unknown;unknown
Monkey Marc;electronic;dub;unknown
Jurassic 5;Hip-Hop;hip hop;rap
Floex;electronic;ambient;nu-jazz
The Hussy;Garage Rock;power pop;american
Lexer;House;tech-house;schlau machen
The Pharcyde;Hip-Hop;hip hop;rap
Teba;south african;african dope;hip hop
Arkells;seen live;Canadian;indie rock
Gabriel ;trance;Progressive House;unknown
Adele;soul;female vocalists;british
Meiko;female vocalists;folk;singer-songwriter
Edgar Meyer;Classical;bluegrass;double bass
Owl Vision;electronic;electro;new rave
Oliver Heldens;House;electronic;deep house
Jensation;dutch;unknown;unknown
Green Velvet;techno;House;electronic
L8ER;unknown;unknown;unknown
St. Lucia;indie;electronic;synthpop
The Inexplicables;unknown;unknown;unknown
Jonathan Pitch;unknown;unknown;unknown
José James;jazz;soul;nu jazz
Altruism;psychedelic;goa;psychedelic trance
Los Tirpákos;hardcore;metal;punk
Cyberpunkers;electro;electronic;House
Aknoyd;psychedelic trance;unknown;unknown
Gavin James;seen live;indie;singer-songwriter
Awesome Color;seen live;Garage Rock;psychedelic
Phoenix;indie;french;indie pop
Pacso;Drum and bass;jump up;clownstep
Marco V;trance;electronic;techno
Black Market Karma;Psychedelic Rock;shoegaze;Neo-Psychedelia
Joint Venture;liedermacher;german;singer-songwriter
Dj Gollum vs. Basslovers United;hands up;dj gollum;House
Shpongle;psychedelic;ambient;psytrance
Anna;minimal;minimal techno;techno
TERROR REID;rap;Hip-Hop;hip hop
Fedde Le Grand;House;electronic;dance
Torches;seen live;UK;london
Myth Syzer;Hip-Hop;electronic;french
Nneka;soul;reggae;Neo-Soul
LIL PUMP;Hip-Hop;trap;rap
The Apples;funk;acid jazz;Fusion
Q-Unique;Hip-Hop;underground hip-hop;rap
Brutus;Brutal Death Metal;death metal;Stoner Rock
Mr. Schnabel;hip hop;hamburg;german
16 Bit Lolitas;Progressive House;House;electronic
Meat Puppets;Grunge;alternative;alternative rock
Attlas;electronic;ambient;House
Brodinski;seen live;electro;french
Kuselofte;unknown;unknown;unknown
Hollen;minimal;techno;tech house
EZ3kiel;dub;electronic;trip-hop
Paranormal Attack;psytrance;psychedelic;psychedelic trance
DJ Sly feat. Ragga Twins;unknown;unknown;unknown
Nuno Lisboa;unknown;unknown;unknown
JNSPTRS;trap;unknown;unknown
Miley Cyrus;pop;female vocalists;Disney
DRWN.;beats;instrumental;hip hop
Ott;dub;ambient;chillout
Billie Eilish;pop;indie pop;indie
Father John Misty;folk;seen live;indie
Mick Jenkins;Hip-Hop;rap;underground hip-hop
X-Coast;electronic;House;deep house
Sasio;Hardtek;unknown;unknown
Miwata;seen live;reggae;germany
Gaudium;psytrance;progressive trance;progressive psytrance
Just Her;House;deep house;unknown
O.V. Wright;soul;Deep Soul;Southern Soul
Nils Ohrmann;House;Berlin;spotify
Veerus;Hip-Hop;french hip-hop;hip hop
Pouya;Hip-Hop;Persian;rap
Stanaj;pop;male vocalists;american
Odezenne;Hip-Hop;rap;french hip-hop
Tha Trickaz;turntablism;Hip-Hop;electronic
Sean Paul;dancehall;reggae;Hip-Hop
Will Sessions;Hip-Hop;jazz;funk
tsuki;electronic;ambient;chillout
Chris Lorenzo;electronic;UK Garage;bassline house
M|O|O|N;electronic;House;acid house
Phoebe Bridgers;folk;indie;singer-songwriter
Becky G;pop;female vocalists;Hip-Hop
Cooper Sams;instrumental;ambient;unknown
The Soundcarriers;psychedelic;british;indie
Ben Phipps;electronic;chill;House
Malachai;indie rock;psychedelic;indie
BROHUG;bass house;seen live;swedish
Paji;tech house;unknown;unknown
The Machine;Stoner Rock;Psychedelic Rock;psychedelic
Seamoon;psychill;ambient;downtempo
A Tribe Called Quest;Hip-Hop;rap;hip hop
Hot Cue;unknown;unknown;unknown
walterwarm;instrumental;beats;hip hop
Love Battery;Grunge;alternative rock;seattle
Drugs;funk;Black Rock;soul
Asian Dub Foundation;dub;electronic;Hip-Hop
Obelyskkh;doom metal;stoner metal;Sludge
Stephen Marley;reggae;roots reggae;jamaica
Ruback;90s;eurodance;dance
rosswell;unknown;unknown;unknown
Contrefaçon;unknown;unknown;unknown
Brains;Drum and bass;ragga;ragga-jungle
Suburbass;Hardtek;tekno;freetekno
Albin Myers;House;electro;Progressive House
Cliq;dance;unknown;unknown
Autolux;shoegaze;indie;indie rock
Wax Wreckaz;WAX WRECKAZ;unknown;unknown
DANGERDOOM;Hip-Hop;underground hip-hop;rap
Teen Daze;chillwave;dream pop;electronic
Protoculture;psytrance;psychedelic trance;electronic
Diggory Kenrick;unknown;unknown;unknown
Suntree;progressive psytrance;psytrance;progressive trance
Andhim;tech house;minimal;electronic
Lemâitre;electronic;electronica;glitch
Samantha Machado;unknown;unknown;unknown
Shahmen;Hip-Hop;rap;trip hop
Imhotep;dub;chillout;french
Ras Amerlock;dub;jahtari;reggae
Katy Perry;pop;female vocalists;pop rock
Klaas;House;electro house;electronic
Asia 2001;goa;Goa Trance;psytrance
Moussier Tombola;french;dance;All
D.O.D.;Philadelphia;rap;underground hip-hop
Manose;flute;spiritual;bansuri
Bankos;Hip-Hop;hungarian;rap
Rotfront;ska;russian;folk
Disclosure;electronic;seen live;future garage
Ookay;trap;electronic;swag
Imperial Leisure;ska;seen live;Hip-Hop
Wo Fat;Stoner Rock;stoner metal;stoner
Het Verzet;underground hip-hop;Hip-Hop;rap
Two Feet;indie;blues rock;alternative
Tracey Chattaway;ambient;post-rock;piano
Circuit Breakers;psychedelic trance;psytrance;trance
Kid Loco;trip-hop;downtempo;chillout
Kid Ink;Hip-Hop;rap;west coast
Teho;minimal;unknown;unknown
Otis Redding;soul;rhythm and blues;blues
Jurij;alternative;hungarian;szocrock
Captain Gips;Hip-Hop;hip hop;rap
Harold van Lennep;House;chillout;british
Nik Kershaw;80s;pop;new wave
Amorf Ördögök;hungarian;alternative;magyar
Pearson Sound;dubstep;electronic;seen live
Millions Like Us;dubstep;Drum and bass;electro
Joe Jayson;unknown;unknown;unknown
Wild Belle;indie;reggae;indie pop
Neodisco;electronic;House;dance
Shades;chillwave;reggae;rocksteady
Charizma;hard rock;Hip-Hop;swedish
Bubble;psytrance;full on;rock
Levianth;electronic;Greek;EDM
Wildcat! Wildcat!;electropop;indie pop;indie
Tropic of Cancer;shoegaze;Lo-Fi;drone
Busta Flex;Hip-Hop;rap;french rap
Pardon Moi;unknown;unknown;unknown
Cypress Hill;Hip-Hop;rap;rapcore
Ras G;Hip-Hop;experimental;instrumental
Goldfish;lounge;south african;electronica
Deluxe;indie;spanish indie pop;spanish
